ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_2372	Eukaryota	Porifera	Demospongiae	Suberitida	Suberitidae	Pseudosuberites	Pseudosuberites sp_ CY_2021
ASV_2374	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Adeonidae	NA	NA
ASV_2375	Eukaryota	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV_2379	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_238	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Centropagidae	NA	NA
ASV_2380	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	Pseudocalanus elongatus
ASV_2381	Eukaryota	Echinodermata	Asteroidea	Valvatida	Oreasteridae	NA	NA
ASV_2384	Eukaryota	Nemertea	Palaeonemertea	Carinomiformes	Carinomidae	Carinoma	Carinoma sp_ white
ASV_2385	Eukaryota	Mollusca	Bivalvia	Venerida	Sphaeriidae	Odhneripisidium	Odhneripisidium caucasus
ASV_2386	Eukaryota	Cnidaria	Anthozoa	Scleractinia	NA	NA	NA
ASV_2388	Eukaryota	Rotifera	Eurotatoria	Ploima	NA	NA	NA
ASV_2389	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_239	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Acartiidae	Acartia	Acartia tonsa
ASV_2390	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_2392	Bacteria	Pseudomonadota	Alphaproteobacteria	Candidatus Pelagibacterales	Fonsibacter__f	Fonsibacter	Candidatus Fonsibacter ubiquis
ASV_2393	Bacteria	Pseudomonadota	Gammaproteobacteria	Candidatus Pseudothioglobus__f__o	NA	NA	NA
ASV_2397	Eukaryota	Nemertea	Pilidiophora	NA	NA	NA	NA
ASV_2398	Eukaryota	Cnidaria	Cubozoa	Carybdeida	NA	NA	NA
ASV_24	Eukaryota	Arthropoda	Thecostraca	Balanomorpha	NA	NA	NA
ASV_240	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_2405	Eukaryota	Mollusca	Bivalvia	Adapedonta	Solenidae	NA	NA
ASV_2406	Eukaryota	Mollusca	Bivalvia	NA	NA	NA	NA
ASV_2407	Eukaryota	Nemertea	Enopla	Monostilifera	Oerstediidae	Oerstedia	NA
ASV_241	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	NA	NA	NA
ASV_2414	Eukaryota	Nemertea	Pilidiophora	Heteronemertea	Lineidae	NA	NA
ASV_242	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_2422	Archaea	Nitrososphaerota	NA	NA	NA	NA	NA
ASV_2427	Eukaryota	Porifera	Demospongiae	Dendroceratida	Halisarcidae	Halisarca	Halisarca dujardinii
ASV_2428	Eukaryota	Porifera	Hexactinellida	Lyssacinosida	Rossellidae	Vazella	Vazella pourtalesii
ASV_243	Eukaryota	Mollusca	Bivalvia	Cardiida	Tellinidae	NA	NA
ASV_2431	Eukaryota	Chordata	Mammalia	Artiodactyla	Delphinidae	Lagenorhynchus	Lagenorhynchus obliquidens
ASV_2439	Eukaryota	Nemertea	Pilidiophora	Heteronemertea	Lineidae	Cerebratulus	Cerebratulus albifrons
ASV_244	Eukaryota	Chordata	Actinopteri	Cypriniformes	Gobionidae	Abbottina	Abbottina rivularis
