ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_10210	Eukaryota	Cercozoa	Cercomonadida__c	Cercomonadida	Cercomonadidae	NA	NA
ASV_10211	Environmental Unknown	NA	NA	NA	NA	NA	NA
ASV_10212	Eukaryota	Dinophyceae__p	Dinophyceae	Coccidiniales	Chytriodiniaceae	NA	NA
ASV_10213	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	Thaumatomonas	Thaumatomonas sp_
ASV_10214	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_10215	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_10216	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Amoebophrya sp_
ASV_10217	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	NA
ASV_10218	Unknown	NA	NA	NA	NA	NA	NA
ASV_10219	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_1022	Eukaryota	Cryptophyceae__p	Cryptophyceae	Cryptomonadales	Hemiselmidaceae	Hemiselmis	Hemiselmis cryptochromatica
ASV_10220	Eukaryota	Ciliophora	Spirotrichea	Tontoniidae__o	Tontoniidae	Pseudotontonia	NA
ASV_10221	Eukaryota	Dinophyceae__p	Dinophyceae	Coutea__f__o	NA	NA	NA
ASV_10222	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_10223	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Pseudocalanus	NA
ASV_10224	Eukaryota	Oomycota	Miraculaceae__o__c	Miraculaceae__o	Miraculaceae	Miracula	Miracula islandica
ASV_10225	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	NA	NA	NA
ASV_10226	Eukaryota	Endomyxa	Vampyrellida__c	Vampyrellida	NA	NA	NA
ASV_10227	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_10228	Unknown	NA	NA	NA	NA	NA	NA
ASV_10229	Eukaryota	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca	Cylindrotheca sp_ RCC5303
ASV_1023	Eukaryota	Ciliophora	Litostomatea	Haptorida	Lacrymariidae	NA	NA
ASV_10230	Eukaryota	Cercozoa	Cercomonadida__c	Cercomonadida	Cercomonadidae	NA	NA
ASV_10231	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	NA	NA	NA
ASV_10232	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_10233	Eukaryota	Picozoa	Picomonadea	Picomonadida	Picomonadidae	NA	NA
ASV_10234	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Gymnodiniaceae	NA	NA
ASV_10235	Unknown	NA	NA	NA	NA	NA	NA
ASV_10236	Eukaryota	Apicomplexa	Conoidasida	NA	NA	NA	NA
ASV_10237	Unknown	NA	NA	NA	NA	NA	NA
ASV_10238	Unknown	NA	NA	NA	NA	NA	NA
ASV_10239	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	NA
ASV_1024	Eukaryota	Ciliophora	NA	NA	NA	NA	NA
ASV_10240	Unknown	NA	NA	NA	NA	NA	NA
