Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E1798.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,4/30/2023,NA,14:14,NA,NA,64,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,M2C,10,56°51.86' N,164°02.96' W,1000,Shannon Brown,M2 repeat; stored in fridge for 11 hours before filtering
E1799.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,5/2/2023,NA,2:23,NA,NA,67,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,KUM2A,36,58°15.67' N,163°29.66' W,1000,Shannon Brown,
E1800.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,5/2/2023,NA,2:23,NA,NA,67,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,KUM2A,10,58°15.67' N,163°29.66' W,1000,Shannon Brown,
E1801.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,5/5/2023,NA,22:01,NA,NA,78,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW1,200,53°58.89' N,166°58.55' W,1000,Shannon Brown,Stored in fridge for 6-7 hours before filtering
E1802.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,5/5/2023,NA,22:01,NA,NA,78,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW1,100,53°58.89' N,166°58.55' W,1000,Shannon Brown,Stored in fridge for 6-7 hours before filtering
E1803.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,5/5/2023,NA,22:01,NA,NA,78,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW1,10,53°58.89' N,166°58.55' W,1000,Shannon Brown,Stored in fridge for 6-7 hours before filtering
E1804.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,5/6/2023,NA,2:29,NA,NA,80,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW3,1499,54°10.28' N,167°09.38' W,1000,Shannon Brown,
E1805.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,5/6/2023,NA,2:29,NA,NA,80,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW3,750,54°10.28' N,167°09.38' W,1000,Shannon Brown,
E1806.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,5/6/2023,NA,2:29,NA,NA,80,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW3,10,54°10.28' N,167°09.38' W,1000,Shannon Brown,
E1807.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,5/6/2023,NA,7:28,NA,NA,82,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW5,640,54°26.95' N,167°23.07' W,1000,Shannon Brown,
E1808.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,5/6/2023,NA,7:28,NA,NA,82,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW5,300,54°26.95' N,167°23.07' W,1000,Shannon Brown,
E1809.DY2306,1,1,FALSE,DY2306,EcoFOCI Spring Mooring,5/6/2023,NA,7:28,NA,NA,82,10,Niskin; Sterivex 0.22µm filter,95% EtOH,Beiring Sea,AW5,10,54°26.95' N,167°23.07' W,1000,Shannon Brown,
