Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E1529.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/19/22,9:01,1:04,NA,50,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEM2.5,119.8,58.23,-137.00525,1000,Kesten Bozinovic,
E1530.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/19/22,9:01,1:09,NA,50,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEM2.5,26,58.23,-137.00507,1000,Kesten Bozinovic,
E1531.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/19/22,9:01,1:10,NA,50,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEM2.5,4,58.24,-137.00502,1000,Kesten Bozinovic,
E1532.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/19/22,10:19,2:22,NA,52,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEM-2.5,62.5,58.27,-136.87108,1000,Kesten Bozinovic,
E1533.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/19/22,10:19,2:24,NA,52,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEM-2.5,26.5,58.27,-136.87042,1000,Kesten Bozinovic,
E1534.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/19/22,10:19,2:26,NA,52,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,SEM-2.5,3.5,58.27,-136.86972,1000,Kesten Bozinovic,
E1535.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/19/22,13:35,5:39,NA,53,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,GB24,124.6,58.33,-136.11309,1000,Kesten Bozinovic,
E1536.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/19/22,13:35,5:43,NA,53,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,GB24,25.1,58.33,-136.11083,1000,Kesten Bozinovic,
E1537.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/19/22,8/19/22,13:35,5:46,NA,53,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,GB24,2.9,58.33,-136.10966,1000,Kesten Bozinovic,
E1538.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/20/22,8/19/22,3:19,19:26,NA,55,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,GB12,267.8,59.03,-137.01602,1000,Kesten Bozinovic,
E1539.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/20/22,8/19/22,3:19,19:31,NA,55,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,GB12,74.8,59.03,-137.01548,1000,Kesten Bozinovic,
E1540.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/20/22,8/19/22,3:19,19:35,NA,55,6,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,GB12,2.8,59.03,-137.01512,1000,Kesten Bozinovic,
