cast,date,time,nb,Sbeox0ML/L,Sbeox0PS,Sbox0Mm/Kg,Sbeox1ML/L,Sbeox1PS,Sbox1Mm/Kg,Sal00,Sal11,Sigma-t00,Sigma-t11,FlECO-AFL,T090C,T190C,TurbWETntu0,PrDM
ctd045,12-Sep-20,9:14:18,2,8.1782,97.922,355.937,7.9535,95.231,346.154,32.5151,32.5177,26.137,26.139,0.7293,-0.92,-0.9189,1.758,35.94
ctd045,12-Sep-20,9:15:24,3,8.1629,97.736,355.269,7.9407,95.076,345.599,32.5131,32.5161,26.1354,26.1378,0.7565,-0.9205,-0.9198,1.8206,30.936
ctd045,12-Sep-20,9:15:25,4,8.1613,97.716,355.202,7.936,95.018,345.395,32.5134,32.5165,26.1356,26.1381,0.7482,-0.9213,-0.9207,1.8615,31.395
ctd045,12-Sep-20,9:17:07,5,7.3175,99.649,318.924,7.1573,97.467,311.939,31.182,31.1848,24.7011,24.7023,0.9446,4.5039,4.5138,0.3114,14.771
ctd045,12-Sep-20,9:17:14,6,7.3269,99.791,319.33,7.1545,97.444,311.818,31.1826,31.1857,24.7009,24.7029,0.8509,4.5101,4.5147,0.317,14.809
ctd045,12-Sep-20,9:18:45,7,7.1645,98.582,312.328,7.0189,96.579,305.983,30.9341,30.9153,24.4529,24.4355,0.7421,5.0036,5.0271,0.2833,4.289
ctd045,12-Sep-20,9:18:53,8,7.1372,98.206,311.14,7.0321,96.759,306.556,30.9324,30.9506,24.4516,24.4673,0.6899,5.0037,4.9906,0.2798,4.294
ctd050,13-Sep-20,8:32:37,1,6.0116,71.257,261.566,5.8855,69.761,256.078,32.8545,32.8533,26.4264,26.4253,0.3494,-1.3867,-1.3845,2.476,37.058
ctd050,13-Sep-20,8:32:44,2,6.0315,71.496,262.433,5.8907,69.827,256.306,32.8484,32.8466,26.4213,26.4198,0.3813,-1.3831,-1.3811,2.2549,36.806
ctd050,13-Sep-20,8:33:30,3,7.9402,94.561,345.55,7.7229,91.974,336.096,32.6023,32.6055,26.2147,26.2174,5.1882,-1.1445,-1.1449,0.6683,31.079
ctd050,13-Sep-20,8:33:36,4,8.0114,95.451,348.655,7.8225,93.201,340.434,32.5876,32.5926,26.2022,26.2063,6.521,-1.1243,-1.1272,0.8106,30.79
ctd050,13-Sep-20,8:35:07,5,7.2815,98.504,317.565,7.1509,96.738,311.869,30.3094,30.3136,24.0119,24.015,0.3918,4.4731,4.4753,0.1623,15.826
ctd050,13-Sep-20,8:35:09,6,7.2911,98.636,317.987,7.1442,96.648,311.577,30.3097,30.3126,24.0122,24.0143,0.3656,4.4734,4.4744,0.1615,15.829
ctd050,13-Sep-20,8:36:37,7,7.3174,98.983,319.134,7.1297,96.443,310.945,30.3086,30.3108,24.0115,24.0133,0.3846,4.4701,4.4702,0.1801,3.514
