Sample	ASV	count	Kingdom	Phylum	Class	Order	Family	Genus	Species	(common name)
MP_E977_2T_NA128	ASV_3	127050	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E978_2T_NA128	ASV_3	231080	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E979_1T_NA128	ASV_3	248	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E980_1T_NA128	ASV_3	668	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E995_1T_NA128	ASV_3	257	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E1011_2T_NA128	ASV_3	84	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E1012_1T_NA128	ASV_3	2695	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E1013_1T_NA128	ASV_3	1224	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E1014_1T_NA128	ASV_3	684	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E1015_1T_NA128	ASV_3	95	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E1020_1T_NA128	ASV_3	75	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E1021_1T_NA128	ASV_3	314	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E2084_SKQ23_12S	ASV_3	2526	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E2097_SKQ23_12S	ASV_3	482	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E614_WCOA21	ASV_30	62	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E619_WCOA21	ASV_30	108	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E624_WCOA21	ASV_30	561	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E668_WCOA21	ASV_30	6	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E671_WCOA21	ASV_30	447	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E678_WCOA21	ASV_30	127	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E697_WCOA21	ASV_30	34	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E754_WCOA21	ASV_30	310	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E777_WCOA21	ASV_30	169	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E806_1B_WCOA21	ASV_30	112	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E815_WCOA21	ASV_30	54	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E820_WCOA21	ASV_30	255	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E828_WCOA21	ASV_30	309	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E882_1B_WCOA21	ASV_30	11	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E888_WCOA21	ASV_30	95	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E893_WCOA21	ASV_30	2	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E897_WCOA21	ASV_30	161	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E902_1B_WCOA21	ASV_30	3	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E969_1T_NA128	ASV_30	238	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E970_1T_NA128	ASV_30	607	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E971_1T_NA128	ASV_30	425	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E972_1T_NA128	ASV_30	560	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E973_1T_NA128	ASV_30	68	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E977_2T_NA128	ASV_30	116	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E978_2T_NA128	ASV_30	85	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E979_1T_NA128	ASV_30	2	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E980_1T_NA128	ASV_30	61	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E985_1T_NA128	ASV_30	11	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E991_1T_NA128	ASV_30	7	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E994_2T_NA128	ASV_30	29	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E995_1T_NA128	ASV_30	1927	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E996_1T_NA128	ASV_30	1558	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E1005_1T_NA128	ASV_30	1725	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E1011_2T_NA128	ASV_30	45	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E1012_1T_NA128	ASV_30	391	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E1013_1T_NA128	ASV_30	360	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E1014_1T_NA128	ASV_30	188	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E1015_1T_NA128	ASV_30	125	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E1020_1T_NA128	ASV_30	306	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E1021_1T_NA128	ASV_30	191	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
MP_E1022_1T_NA128	ASV_30	160	Eukaryota	Porifera	Demospongiae	Poecilosclerida				
