
Start of run:
Tue Jun 11 09:51:36 PDT 2024

Invoked script options:
/usr/bin/REVAMP/revamp.sh -p config_files/MiFish_config_file.txt -f config_files/figure_config_file.txt -s metadata/MiFish_metadata.txt -r renamed/MiFish -o MiFish_RUN1

Running Cutadapt: Tue Jun 11 09:51:40 PDT 2024
Finished Cutadapt: Tue Jun 11 09:57:45 PDT 2024
Sample	Passing Reads	Passing bp
MP_E496_3B_PCR2	96.2%	83.4%
MP_E496_3B_PCR3	95.7%	85.7%
MP_E498_1B_PCR2	92.7%	82.0%
MP_E498_1B_PCR3	90.9%	80.5%
MP_E498_2B_PCR2	93.9%	82.9%
MP_E498_2B_PCR3	93.7%	83.2%
MP_E498_3B_PCR2	93.1%	82.2%
MP_E498_3B_PCR3	92.5%	80.1%
MP_E573_1B_PCR2	98.4%	85.2%
MP_E573_1B_PCR3	97.4%	85.1%
MP_E573_2B_PCR2	97.7%	81.9%
MP_E573_2B_PCR3	98.5%	82.5%
MP_E573_3B_PCR2	98.1%	84.8%
MP_E573_3B_PCR3	98.3%	83.9%
MP_E574_1B_PCR2	97.9%	88.0%
MP_E574_1B_PCR3	98.0%	87.7%
MP_E574_2B_PCR2	96.7%	86.7%
MP_E574_2B_PCR3	96.2%	85.7%
MP_E574_3B_PCR2	97.3%	85.1%
MP_E574_3B_PCR3	95.8%	85.9%
MP_E575_1B_PCR2	99.6%	74.7%
MP_E575_1B_PCR3	99.6%	76.6%
MP_E575_2B_PCR2	99.4%	85.9%
MP_E575_2B_PCR3	99.3%	83.3%
MP_E575_3B_PCR2	99.7%	73.7%
MP_E575_3B_PCR3	99.8%	76.1%
MP_E598_1B_PCR2	94.5%	82.8%
MP_E598_1B_PCR3	93.8%	81.9%
MP_E598_2B_PCR2	94.1%	82.6%
MP_E598_2B_PCR3	94.3%	83.2%
MP_E598_3B_PCR2	95.3%	84.7%
MP_E598_3B_PCR3	93.8%	84.1%
MP_E600_1B_PCR2	98.5%	79.8%
MP_E600_1B_PCR3	98.5%	82.8%
MP_E600_2B_PCR2	98.6%	80.1%
MP_E600_2B_PCR3	98.9%	79.0%
MP_E600_3B_PCR2	98.5%	80.3%
MP_E600_3B_PCR3	98.0%	80.1%
MP_E610_NC	96.8%	87.7%
MP_E690_MiFishMod	99.3%	69.7%
MP_POSITIVE	99.6%	72.1%

Please check Cutadapt success. Proceed? [y/n]
Continuing!

Running DADA2: Tue Jun 11 12:53:43 PDT 2024
Trim and filter in DADA2...

DADA2 Filtering results:
Sample	% Reads Passing
MP_E1032_OC0821_PCR1_R1_trimmed.fq.gz 93.2845
MP_E1032_OC0821_PCR2_R1_trimmed.fq.gz 75.8925
MP_E1032_OC0821_PCR3_R1_trimmed.fq.gz 91.0967
MP_E1033_OC0821_PCR1_R1_trimmed.fq.gz 93.6043
MP_E1033_OC0821_PCR2_R1_trimmed.fq.gz 94.7896
MP_E1033_OC0821_PCR3_R1_trimmed.fq.gz 92.538
MP_E1034_OC0821_PCR1_R1_trimmed.fq.gz 94.1701
MP_E1034_OC0821_PCR2_R1_trimmed.fq.gz 90.7483
MP_E1034_OC0821_PCR3_R1_trimmed.fq.gz 94.5153
MP_E1053_SKQ2021_R1_trimmed.fq.gz 89.8224
MP_E1054_SKQ2021_R1_trimmed.fq.gz 68.1709
MP_E1055_SKQ2021_R1_trimmed.fq.gz 87.8874
MP_E1056_SKQ2021_R1_trimmed.fq.gz 84.5043
MP_E1057_SKQ2021_R1_trimmed.fq.gz 90.1939
MP_E1058_SKQ2021_R1_trimmed.fq.gz 86.7371
MP_E1059_SKQ2021_R1_trimmed.fq.gz 93.27
MP_E1060_SKQ2021_R1_trimmed.fq.gz 81.7532
MP_E1061_SKQ2021_R1_trimmed.fq.gz 88.164
MP_E1062_SKQ2021_R1_trimmed.fq.gz 89.8145
MP_E1063_SKQ2021_R1_trimmed.fq.gz 84.9745
MP_E1064_SKQ2021_R1_trimmed.fq.gz 91.2829
MP_E1065_SKQ2021_R1_trimmed.fq.gz 87.9745
MP_E1066_SKQ2021_R1_trimmed.fq.gz 91.7407
MP_E1067_SKQ2021_R1_trimmed.fq.gz 85.8108
MP_E1068_SKQ2021_R1_trimmed.fq.gz 81.7124
MP_E1069_SKQ2021_R1_trimmed.fq.gz 90.1363
MP_E1070_SKQ2021_R1_trimmed.fq.gz 87.6433
MP_E1071_SKQ2021_R1_trimmed.fq.gz 88.2199
MP_E1072_SKQ2021_R1_trimmed.fq.gz 91.995
